iter	Passed	Remaining
418	2593	3596
419	2600	3590
420	2606	3584
421	2612	3577
422	2618	3571
423	2624	3565
424	2630	3558
425	2636	3552
426	2642	3545
427	2648	3540
428	2654	3533
429	2661	3527
430	2667	3520
431	2673	3514
432	2679	3508
433	2685	3502
434	2691	3496
435	2697	3489
436	2703	3483
437	2709	3477
438	2716	3471
439	2722	3465
440	2728	3458
441	2734	3452
442	2740	3446
443	2746	3439
444	2753	3433
445	2759	3427
446	2765	3421
447	2771	3414
448	2777	3408
449	2783	3402
450	2789	3396
451	2795	3389
452	2802	3383
453	2808	3377
454	2814	3371
455	2820	3365
456	2826	3358
457	2833	3352
458	2839	3346
459	2845	3340
460	2851	3333
461	2857	3328
462	2863	3321
463	2869	3315
464	2875	3308
465	2882	3302
466	2888	3296
467	2894	3290
468	2900	3283
469	2906	3277
470	2912	3271
471	2918	3264
472	2924	3258
473	2930	3252
474	2936	3245
475	2942	3239
476	2948	3233
477	2955	3227
478	2961	3220
479	2967	3214
480	2973	3208
481	2979	3201
482	2985	3195
483	2991	3189
484	2997	3183
485	3003	3176
486	3009	3170
487	3015	3164
488	3021	3157
489	3027	3151
490	3034	3145
491	3040	3139
492	3046	3132
493	3052	3126
494	3058	3120
495	3064	3113
496	3070	3107
497	3076	3100
498	3081	3094
499	3087	3087
500	3093	3081
501	3100	3075
502	3106	3069
503	3112	3063
504	3118	3056
505	3124	3050
506	3130	3044
507	3136	3037
508	3142	3031
509	3148	3025
510	3154	3019
511	3161	3012
512	3167	3006
513	3173	3000
514	3179	2994
515	3185	2988
516	3192	2982
517	3198	2975
518	3204	2969
519	3210	2963
520	3216	2956
521	3222	2950
522	3228	2944
523	3234	2938
524	3240	2932
525	3247	2926
526	3253	2919
527	3259	2913
528	3265	2907
529	3271	2901
530	3277	2895
531	3284	2888
532	3289	2882
533	3295	2876
534	3301	2869
535	3308	2863
536	3314	2857
537	3319	2850
538	3326	2844
539	3332	2839
540	3338	2832
541	3345	2826
542	3351	2820
543	3357	2814
544	3363	2808
545	3369	2801
546	3375	2795
547	3383	2790
548	3389	2784
549	3397	2779
550	3403	2773
551	3410	2767
552	3417	2762
553	3423	2756
554	3430	2750
555	3436	2743
556	3442	2737
557	3448	2731
558	3454	2725
559	3460	2719
560	3466	2712
561	3472	2706
562	3478	2700
563	3484	2693
564	3490	2687
565	3496	2681
566	3502	2675
567	3508	2668
568	3514	2662
569	3520	2655
570	3526	2649
571	3532	2643
572	3538	2637
573	3544	2630
574	3550	2624
575	3556	2618
576	3562	2611
577	3568	2605
578	3574	2599
579	3580	2593
580	3586	2586
581	3593	2580
582	3599	2574
583	3605	2568
584	3611	2562
585	3617	2555
586	3623	2549
587	3630	2543
588	3636	2537
589	3642	2531
590	3648	2525
591	3655	2519
592	3661	2512
593	3667	2506
594	3673	2500
595	3679	2494
596	3685	2487
597	3691	2481
598	3697	2475
599	3703	2469
600	3709	2462
601	3715	2456
602	3721	2450
603	3727	2444
604	3733	2437
605	3739	2431
606	3746	2425
607	3752	2419
608	3758	2412
609	3764	2406
610	3770	2400
611	3776	2394
612	3782	2387
613	3788	2381
614	3794	2375
615	3800	2369
616	3807	2363
617	3813	2356
618	3819	2350
619	3825	2344
620	3831	2338
621	3837	2332
622	3843	2325
623	3849	2319
624	3855	2313
625	3861	2306
626	3867	2300
627	3873	2294
628	3879	2288
629	3885	2281
630	3891	2275
631	3897	2269
632	3903	2263
633	3909	2257
634	3915	2250
635	3921	2244
636	3927	2238
637	3933	2232
638	3940	2225
639	3946	2219
640	3952	2213
641	3958	2207
642	3964	2200
643	3970	2194
644	3976	2188
645	3982	2182
646	3988	2175
647	3994	2169
648	4000	2163
649	4006	2157
650	4012	2151
651	4018	2144
652	4024	2138
653	4030	2132
654	4036	2126
655	4042	2120
656	4048	2113
657	4054	2107
658	4060	2101
659	4066	2095
660	4073	2089
661	4079	2082
662	4085	2076
663	4091	2070
664	4097	2064
665	4103	2057
666	4109	2051
667	4115	2045
668	4121	2039
669	4127	2032
670	4133	2026
671	4139	2020
672	4145	2014
673	4151	2008
674	4158	2002
675	4164	1996
676	4171	1990
677	4177	1983
678	4183	1977
679	4190	1971
680	4196	1965
681	4203	1959
682	4209	1953
683	4215	1947
684	4222	1941
685	4228	1935
686	4235	1929
687	4241	1923
688	4247	1917
689	4253	1911
690	4259	1904
691	4266	1898
692	4272	1892
693	4278	1886
694	4285	1880
695	4292	1874
696	4298	1868
697	4304	1862
698	4310	1856
699	4316	1850
700	4323	1843
701	4329	1837
702	4335	1831
703	4341	1825
704	4347	1819
705	4353	1813
706	4360	1806
707	4366	1800
708	4372	1794
709	4378	1788
710	4384	1782
711	4391	1776
712	4397	1770
713	4403	1763
714	4409	1757
715	4416	1751
716	4422	1745
717	4428	1739
718	4434	1733
719	4440	1727
720	4447	1720
721	4453	1714
722	4459	1708
723	4465	1702
724	4471	1696
725	4477	1689
726	4483	1683
727	4489	1677
728	4496	1671
729	4502	1665
730	4508	1659
731	4514	1653
732	4521	1646
733	4527	1640
734	4533	1634
735	4539	1628
736	4546	1622
737	4552	1616
738	4558	1609
739	4564	1603
740	4570	1597
741	4577	1591
742	4583	1585
743	4589	1579
744	4596	1573
745	4602	1567
746	4608	1560
747	4615	1554
748	4621	1548
749	4627	1542
750	4633	1536
751	4639	1530
752	4646	1524
753	4652	1517
754	4658	1511
755	4664	1505
756	4671	1499
757	4677	1493
758	4683	1487
759	4689	1480
760	4695	1474
761	4701	1468
762	4707	1462
763	4714	1456
764	4720	1450
765	4726	1443
766	4733	1437
767	4739	1431
768	4745	1425
769	4751	1419
770	4757	1413
771	4764	1407
772	4770	1400
773	4776	1394
774	4782	1388
775	4788	1382
776	4794	1376
777	4801	1369
778	4807	1363
779	4813	1357
780	4820	1351
781	4826	1345
782	4832	1339
783	4839	1333
784	4845	1327
785	4851	1320
786	4858	1314
787	4864	1308
